product_key,category,product_name,total_reviews,cleanse_ratio,orig_rating,cleaned_rating,axis_1,axis_2,axis_3,axis_4,summary_1
asus-prime-b760m-a-wifi,mainboard,ASUS PRIME B760M-A WIFI,1024,0.186,4.53,4.1,BIOS안정성 부정 55%,VRM발열 긍정 65%,부팅/POST 부정 53%,부가기능 긍정 79%,내장 Wi-Fi·후면 USB 구성이 넉넉해 확장에 불편이 없다는 평이 많습니다.
asus-rog-strix-z790-e-gaming-wifi,mainboard,ASUS ROG STRIX Z790-E GAMING WIFI,192,0.15,4.19,3.89,BIOS안정성 부정 59%,VRM발열 부정 50%,부팅/POST 긍정 75%,부가기능 긍정 65%,내장 Wi-Fi·후면 USB 구성이 넉넉해 확장에 불편이 없다는 평이 많습니다.
msi-mag-b760-tomahawk-wifi,mainboard,MSI MAG B760 TOMAHAWK WIFI,966,0.136,4.16,3.86,BIOS안정성 부정 55%,VRM발열 긍정 89%,부팅/POST 부정 50%,부가기능 긍정 63%,최근 BIOS는 안정적이고 설정 항목도 직관적이라는 후기가 많습니다.
msi-mag-z890-tomahawk-wifi,mainboard,MSI MAG Z890 TOMAHAWK WIFI,642,0.153,4.39,3.96,BIOS안정성 긍정 67%,VRM발열 긍정 69%,부팅/POST 긍정 85%,부가기능 긍정 91%,고전력 CPU에서도 전원부 온도가 안정적이라는 측정 후기가 많습니다.
asrock-b860m-pro-rs,mainboard,ASRock B860M Pro RS,669,0.177,4.61,4.2,BIOS안정성 긍정 59%,VRM발열 부정 44%,부팅/POST 부정 53%,부가기능 긍정 81%,출고 BIOS로는 최신 세대 CPU 인식이 안 돼 별도 업데이트가 필요했다는 사례가 있습니다.
asus-tuf-gaming-b650-plus-wifi,mainboard,ASUS TUF GAMING B650-PLUS WIFI,580,0.163,4.31,4.14,BIOS안정성 부정 57%,VRM발열 긍정 87%,부팅/POST 부정 60%,부가기능 긍정 58%,고전력 CPU에서도 전원부 온도가 안정적이라는 측정 후기가 많습니다.
msi-mag-b850-tomahawk-wifi,mainboard,MSI MAG B850 TOMAHAWK WIFI,1354,0.196,4.49,4.32,BIOS안정성 부정 39%,VRM발열 긍정 68%,부팅/POST 긍정 59%,부가기능 긍정 62%,고전력 CPU에서도 전원부 온도가 안정적이라는 측정 후기가 많습니다.
asrock-x870e-taichi,mainboard,ASRock X870E Taichi,335,0.156,4.62,4.19,BIOS안정성 부정 38%,VRM발열 긍정 85%,부팅/POST 부정 39%,부가기능 긍정 64%,내장 Wi-Fi·후면 USB 구성이 넉넉해 확장에 불편이 없다는 평이 많습니다.
asrock-b550m-pro-rs,mainboard,ASRock B550M Pro RS,272,0.125,4.65,4.2,BIOS안정성 긍정 76%,VRM발열 긍정 91%,부팅/POST 부정 42%,부가기능 긍정 78%,메모리 4개 장착 시 첫 POST가 오래 걸린다는 언급이 반복됩니다.
gigabyte-b650-aorus-elite-ax,mainboard,GIGABYTE B650 AORUS ELITE AX,552,0.233,4.66,4.21,BIOS안정성 부정 62%,VRM발열 긍정 88%,부팅/POST 부정 60%,부가기능 긍정 68%,메모리 4개 장착 시 첫 POST가 오래 걸린다는 언급이 반복됩니다.
samsung-ddr5-5600-32gb-2x16,ram,Samsung DDR5-5600 32GB (2x16),636,0.112,4.62,4.26,호환성 부정 51%,안정성 긍정 83%,오버클럭 긍정 89%,방열판높이 부정 47%,일부 메인보드에서 EXPO/XMP 프로파일이 한 번에 안 잡혀 BIOS 업데이트가 필요했다는 후기가 있습니다.
g-skill-trident-z5-rgb-ddr5-6000-cl30-32gb-2x16,ram,G.Skill Trident Z5 RGB DDR5-6000 CL30 32GB (2x16),816,0.087,4.58,4.42,호환성 부정 62%,안정성 긍정 78%,오버클럭 긍정 62%,방열판높이 부정 48%,방열판이 높아 대형 공랭 쿨러와 간섭될 수 있다는 지적이 있습니다.
g-skill-flare-x5-ddr5-6000-cl36-32gb-2x16,ram,G.Skill Flare X5 DDR5-6000 CL36 32GB (2x16),615,0.167,4.73,4.2,호환성 부정 43%,안정성 부정 51%,오버클럭 긍정 72%,방열판높이 긍정 89%,정격·프로파일 모두 장기간 오류 없이 돌아간다는 평이 많습니다.
samsung-ddr4-3200-16gb-2x8,ram,Samsung DDR4-3200 16GB (2x8),668,0.159,4.18,3.66,호환성 부정 56%,안정성 긍정 83%,오버클럭 긍정 58%,방열판높이 긍정 68%,메인보드 QVL에 올라 있어 설정 없이 바로 잡혔다는 후기가 많습니다.
g-skill-ripjaws-v-ddr4-3600-32gb-2x16,ram,G.Skill Ripjaws V DDR4-3600 32GB (2x16),348,0.191,4.34,4.19,호환성 긍정 60%,안정성 긍정 70%,오버클럭 부정 43%,방열판높이 부정 52%,방열판이 높아 대형 공랭 쿨러와 간섭될 수 있다는 지적이 있습니다.
nvidia-geforce-rtx-4060,gpu,NVIDIA GeForce RTX 4060,326,0.142,4.73,4.51,내구성 긍정 74%,발열 긍정 79%,소음 부정 49%,설치난이도 부정 58%,고부하 게임에서 팬 소음이 확 올라간다는 평이 반복됩니다.
nvidia-geforce-rtx-4070-super,gpu,NVIDIA GeForce RTX 4070 SUPER,398,0.143,4.18,4.0,내구성 긍정 75%,발열 긍정 80%,소음 부정 48%,설치난이도 부정 59%,1년 이상 사용자에서 성능 저하나 코일 노이즈 악화 언급이 거의 없습니다.
nvidia-geforce-rtx-4070-ti-super,gpu,NVIDIA GeForce RTX 4070 Ti SUPER,637,0.103,4.15,3.81,내구성 긍정 67%,발열 긍정 61%,소음 긍정 73%,설치난이도 긍정 91%,1년 이상 사용자에서 성능 저하나 코일 노이즈 악화 언급이 거의 없습니다.
nvidia-geforce-rtx-5070-ti,gpu,NVIDIA GeForce RTX 5070 Ti,1103,0.094,4.41,4.03,내구성 긍정 66%,발열 긍정 72%,소음 부정 40%,설치난이도 부정 41%,1년 이상 사용자에서 성능 저하나 코일 노이즈 악화 언급이 거의 없습니다.
nvidia-geforce-rtx-5080,gpu,NVIDIA GeForce RTX 5080,1102,0.188,4.18,3.91,내구성 긍정 65%,발열 긍정 91%,소음 부정 55%,설치난이도 부정 44%,고부하 게임에서 팬 소음이 확 올라간다는 평이 반복됩니다.
nvidia-geforce-rtx-5090,gpu,NVIDIA GeForce RTX 5090,1015,0.216,4.28,4.05,내구성 긍정 62%,발열 긍정 58%,소음 부정 60%,설치난이도 부정 58%,3슬롯 두께·긴 길이라 좁은 케이스에서는 간섭이 생긴다는 설치 관련 지적이 있습니다.
amd-radeon-rx-7600,gpu,AMD Radeon RX 7600,159,0.072,4.62,4.11,내구성 긍정 64%,발열 긍정 81%,소음 부정 42%,설치난이도 부정 44%,3슬롯 두께·긴 길이라 좁은 케이스에서는 간섭이 생긴다는 설치 관련 지적이 있습니다.
amd-radeon-rx-7800-xt,gpu,AMD Radeon RX 7800 XT,512,0.107,4.61,4.4,내구성 긍정 83%,발열 긍정 91%,소음 부정 51%,설치난이도 부정 48%,언더볼팅하면 온도가 크게 떨어지고 정숙해진다는 후기가 많습니다.
amd-radeon-rx-9070-xt,gpu,AMD Radeon RX 9070 XT,1555,0.098,4.44,4.2,내구성 부정 51%,발열 긍정 78%,소음 부정 47%,설치난이도 부정 59%,고부하 게임에서 팬 소음이 확 올라간다는 평이 반복됩니다.
samsung-990-pro-1tb,ssd,Samsung 990 PRO 1TB,1487,0.158,4.18,3.95,순차속도 부정 57%,발열 부정 48%,내구성 부정 41%,호환성 긍정 86%,메인보드·노트북 모두 인식 문제 없이 바로 잡혔다는 후기가 대부분입니다.
samsung-990-pro-2tb,ssd,Samsung 990 PRO 2TB,1012,0.092,4.35,4.14,순차속도 긍정 85%,발열 부정 42%,내구성 부정 54%,호환성 긍정 63%,카탈로그 수치에 근접한 순차 속도가 실사용에서도 나온다는 후기가 많습니다.
wd-black-sn770-1tb,ssd,WD Black SN770 1TB,383,0.118,4.51,4.22,순차속도 부정 58%,발열 부정 43%,내구성 부정 40%,호환성 부정 48%,메인보드·노트북 모두 인식 문제 없이 바로 잡혔다는 후기가 대부분입니다.
crucial-mx500-1tb,ssd,Crucial MX500 1TB,604,0.235,4.62,4.41,순차속도 긍정 91%,발열 부정 51%,내구성 긍정 63%,호환성 긍정 85%,수년 사용자에서 수명 관련 문제 언급이 드뭅니다.
corsair-rm650e,psu,Corsair RM650e,790,0.085,4.2,3.73,팬소음 긍정 61%,코일소음 부정 39%,전압안정성 긍정 63%,케이블 부정 60%,케이블이 짧거나 뻣뻣해 빅타워에서는 선정리가 까다롭다는 지적이 있습니다.
corsair-rm750e,psu,Corsair RM750e,1261,0.102,4.36,4.02,팬소음 긍정 71%,코일소음 부정 50%,전압안정성 긍정 72%,케이블 부정 61%,중부하까지 팬이 거의 돌지 않아 조용하다는 평이 많습니다.
corsair-rm850e,psu,Corsair RM850e,1063,0.087,4.54,4.2,팬소음 긍정 58%,코일소음 부정 54%,전압안정성 긍정 68%,케이블 부정 62%,팬이 한번 돌기 시작하면 특정 RPM에서 소음이 도드라진다는 후기가 있습니다.
msi-mpg-a1000g-pcie5,psu,MSI MPG A1000G PCIE5,258,0.191,4.68,4.33,팬소음 긍정 77%,코일소음 부정 57%,전압안정성 긍정 68%,케이블 부정 49%,중부하까지 팬이 거의 돌지 않아 조용하다는 평이 많습니다.
corsair-sf750,psu,Corsair SF750,156,0.238,4.75,4.44,팬소음 긍정 61%,코일소음 부정 58%,전압안정성 긍정 68%,케이블 부정 43%,팬이 한번 돌기 시작하면 특정 RPM에서 소음이 도드라진다는 후기가 있습니다.
fractal-design-north,case,Fractal Design North,944,0.156,4.42,3.94,쿨링 긍정 65%,조립편의 긍정 66%,소음 부정 59%,마감 긍정 65%,선정리 공간과 후면 케이블 채널이 넉넉해 조립이 수월하다는 평이 많습니다.
nzxt-h5-flow,case,NZXT H5 Flow,1234,0.185,4.39,4.07,쿨링 긍정 82%,조립편의 부정 58%,소음 긍정 71%,마감 긍정 71%,기본 팬은 최대 RPM에서 풍절음이 있어 교체했다는 후기가 있습니다.
cooler-master-nr200p-max,case,Cooler Master NR200P MAX,474,0.231,4.47,4.1,쿨링 긍정 92%,조립편의 부정 38%,소음 부정 43%,마감 긍정 71%,도장과 패널 결합부 마감이 가격대 대비 좋다는 평이 많습니다.
asus-prime-ap201,case,ASUS Prime AP201,138,0.061,4.28,3.78,쿨링 긍정 73%,조립편의 긍정 65%,소음 부정 44%,마감 긍정 81%,메쉬 전면 덕에 동일 구성에서 GPU·CPU 온도가 낮게 유지된다는 후기가 많습니다.
thermalright-peerless-assassin-120-se,cooler,Thermalright Peerless Assassin 120 SE,1452,0.082,4.26,3.81,냉각성능 긍정 65%,소음 긍정 76%,설치난이도 부정 55%,클리어런스 부정 60%,풀로드에서도 팬 소음이 거슬리지 않는다는 후기가 많습니다.
noctua-nh-d15,cooler,Noctua NH-D15,1053,0.065,4.34,4.16,냉각성능 긍정 77%,소음 긍정 69%,설치난이도 부정 56%,클리어런스 부정 59%,고전력 CPU도 전력 제한 없이 상시 사용 가능한 수준이라는 후기가 많습니다.
arctic-liquid-freezer-iii-360,cooler,Arctic Liquid Freezer III 360,591,0.203,4.56,4.31,냉각성능 긍정 88%,소음 긍정 91%,설치난이도 부정 44%,클리어런스 부정 39%,동급 공랭 중 온도가 낮은 편이고 소음도 조용하다는 평이 많습니다.
deepcool-ak400,cooler,DeepCool AK400,101,0.125,4.48,4.08,냉각성능 긍정 58%,소음 긍정 77%,설치난이도 긍정 59%,클리어런스 긍정 75%,백플레이트 장착이 까다롭고 설명서가 불친절하다는 지적이 반복됩니다.
